0,1,2,3,4,5,6,7,8,9,10,11
-0.45743999999999996,0.55515,0.26946,-0.8344799999999999,-1.0,-0.35977,0.52578,-0.63513,-0.5351899999999999,0.36674,1.1644000000000002e-08,-0.00080637
-0.40947,0.35315,0.15025,-0.65897,-0.5574399999999999,-0.2416,0.46862,-0.46487,-0.25043000000000004,0.40939000000000003,1.2563e-08,-0.00086369
-0.41231999999999996,0.5392399999999999,0.13274,-0.90451,-0.8911600000000001,-0.31974,0.33819,-0.30601999999999996,-0.47408999999999996,0.11565,1.258e-08,-0.00089291
-0.33205999999999997,0.34118000000000004,0.21414,-0.76479,-0.7842600000000001,-0.29048,0.58272,-0.62454,-0.39966999999999997,0.12017,1.2615e-08,-0.00093493
-0.3773,0.39194,0.033007999999999996,-0.8315299999999999,-0.8308200000000001,-0.29367,0.45011,-0.25606999999999996,-0.38716999999999996,0.15936,1.2627999999999999e-08,-0.00098973
-0.51559,0.40046,0.090351,-0.96952,-0.8615,-0.40291,0.34415,-0.49861000000000005,-0.30546999999999996,0.13408,1.3035e-08,-0.0010513
-0.32752,0.37848000000000004,-0.15438,-0.59521,-0.76989,-0.20196,0.6039899999999999,-0.096929,-0.09605599999999999,0.13982999999999998,1.3328e-08,-0.001059
0.020782,-0.08735599999999999,-0.21113,-0.70717,-0.26971,-0.30259,0.33141,-0.18386,-0.32831,-0.1847,1.3959e-08,-0.0011260999999999999
-0.50229,-0.11535,0.16004000000000002,-0.75121,-1.0,-0.70885,0.61124,-1.0,-0.1712,0.27934000000000003,1.6380000000000002e-08,-0.0011619000000000002
-0.43772,-0.33755,-0.28744000000000003,-0.7300399999999999,-0.65256,-0.15245,0.70913,-0.08254700000000001,-0.10365999999999999,-0.097149,1.6875e-08,-0.0012439999999999999
