0,1,2,3,4,5,6
1.0,2.7399,1.0,1.0,1.0,1665.7,7.1217
1.0,2.7805,1.0,1.0,1.0,1665.8,7.0941
1.0,2.7481,1.0,1.0,1.0,1665.8,7.1161
1.0,2.8234,1.0,1.0,1.0,1665.9,7.0649
1.0,2.8107,1.0,1.0,1.0,1665.9,7.0735
1.0,2.8622,1.0,1.0,1.0,1666.0,7.0385
1.0,2.8323,1.0,1.0,1.0,1666.0,7.0588
1.0,2.8486,1.0,1.0,1.0027,1666.0,7.047999999999999
1.0,2.8698,1.0,1.0,1.0,1666.0,7.0333
1.0,2.8377,1.0,1.0,1.0,1666.0,7.0552
1.0,2.8365,1.0,1.0,1.0,1666.0,7.056
1.0,2.9025,1.0,1.0,1.0,1666.1,7.0111
1.0,2.9474,1.0,1.0,1.0,1666.2,6.9805
1.0,2.9509,1.0,1.0,1.0,1666.2,6.9782
1.0,2.9276,1.0,1.0,1.0,1666.2,6.994
1.0,2.9552,1.0,1.0,1.0,1666.2,6.9753
1.0,2.9517,1.0,1.0,1.0,1666.2,6.9777
1.0,2.9873,1.0,1.0,1.0,1666.3,6.9534
1.0,2.9764,1.0,1.0,1.0,1666.3,6.9608
1.0,2.9567,1.0,1.0,1.0,1666.3,6.9742
1.0,2.9971,1.0,1.0,1.0,1666.3,6.9468
1.0,2.9738,1.0,1.0,1.0,1666.3,6.9626
1.0,2.9838,1.0,1.0,1.0,1666.3,6.9558
1.0,2.9951,1.0,1.0,1.0,1666.3,6.9481
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
1.0,3.0,1.0,1.0,1.0,1666.4,6.9448
