0,1,2,3,4,5,6
1.0873,1.525,1.0014,1.0,1.3239,1664.6,8.0339
1.0873,1.525,1.0014,1.0,1.3239,1664.6,8.0339
1.0873,1.525,1.0014,1.0,1.3239,1664.6,8.0339
1.0873,1.525,1.0014,1.0,1.3239,1664.6,8.0339
1.0873,1.525,1.0014,1.0,1.3239,1664.6,8.0339
1.0873,1.525,1.0014,1.0,1.3239,1664.6,8.0339
1.1792,2.5092,1.041,1.0685,1.2641,1667.5,7.5433
1.1792,2.5092,1.041,1.0685,1.2641,1667.5,7.5433
1.1792,2.5092,1.041,1.0685,1.2641,1667.5,7.5433
1.1792,2.5092,1.041,1.0685,1.2641,1667.5,7.5433
1.1792,2.5497,1.041,1.0685,1.2641,1667.6,7.5168
1.1792,2.5497,1.041,1.0685,1.2641,1667.6,7.5168
1.0955,2.7829,1.041,1.0685,1.2641,1668.0,7.3127
1.0955,2.7829,1.041,1.0685,1.2641,1668.0,7.3127
1.0955,2.7829,1.041,1.0685,1.2641,1668.0,7.3127
