0,1,2,3,4,5,6,7
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
0.00022163,0.00078353,0.00078353,6.4657e-05,6.4657e-05,6.4657e-05,-380.12,-435.58
